List,Name,ID,Feature Type
Neoplastic,SEC61G,ENSG00000132432,Gene Expression
Neoplastic,CLU,ENSG00000120885,Gene Expression
Neoplastic,PTN,ENSG00000105894,Gene Expression
Neoplastic,IGFBP2,ENSG00000115457,Gene Expression
Neoplastic,MT3,ENSG00000087250,Gene Expression
Neoplastic,PTPRZ1,ENSG00000106278,Gene Expression
Neoplastic,FABP7,ENSG00000164434,Gene Expression
Neoplastic,GFAP,ENSG00000131095,Gene Expression
Neoplastic,TUBB2B,ENSG00000137285,Gene Expression
Neoplastic,MIR9-1HG,ENSG00000125462,Gene Expression
Neoplastic,CKB,ENSG00000166165,Gene Expression
Neoplastic,IGFBP5,ENSG00000115461,Gene Expression
Neoplastic,TUBA1A,ENSG00000167552,Gene Expression
Neoplastic,BCAN,ENSG00000132692,Gene Expression
Neoplastic,SPARCL1,ENSG00000152583,Gene Expression
Neoplastic,EGFR,ENSG00000146648,Gene Expression
Neoplastic,NOVA1,ENSG00000139910,Gene Expression
Neoplastic,MT1X,ENSG00000187193,Gene Expression
Neoplastic,MT2A,ENSG00000125148,Gene Expression
Neoplastic,DBI,ENSG00000155368,Gene Expression
Neoplastic,GAP43,ENSG00000172020,Gene Expression
Neoplastic,CHCHD2,ENSG00000106153,Gene Expression
Neoplastic,SOX4,ENSG00000124766,Gene Expression
Neoplastic,CDK4,ENSG00000135446,Gene Expression
Neoplastic,GPM6A,ENSG00000150625,Gene Expression
Neoplastic,PMP2,ENSG00000147588,Gene Expression
Neoplastic,CNN3,ENSG00000117519,Gene Expression
Neoplastic,SCRG1,ENSG00000164106,Gene Expression
Neoplastic,GPM6B,ENSG00000046653,Gene Expression
Neoplastic,MARCKSL1,ENSG00000175130,Gene Expression
Neoplastic,CPE,ENSG00000109472,Gene Expression
Neoplastic,FXYD6,ENSG00000137726,Gene Expression
Neoplastic,MAP1B,ENSG00000131711,Gene Expression
Neoplastic,METRN,ENSG00000103260,Gene Expression
Neoplastic,CALD1,ENSG00000122786,Gene Expression
Neoplastic,PCSK1N,ENSG00000102109,Gene Expression
Neoplastic,CRYAB,ENSG00000109846,Gene Expression
Neoplastic,MDK,ENSG00000110492,Gene Expression
Neoplastic,BAALC,ENSG00000164929,Gene Expression
Neoplastic,CCT6A,ENSG00000146731,Gene Expression
Neoplastic,RBP1,ENSG00000114115,Gene Expression
Neoplastic,GAPDH,ENSG00000111640,Gene Expression
Neoplastic,VIM,ENSG00000026025,Gene Expression
Neoplastic,RAMP1,ENSG00000132329,Gene Expression
Neoplastic,TSC22D1,ENSG00000102804,Gene Expression
Neoplastic,CST3,ENSG00000101439,Gene Expression
Neoplastic,TUBB2A,ENSG00000137267,Gene Expression
Neoplastic,NIPSNAP2,ENSG00000146729,Gene Expression
Neoplastic,S100B,ENSG00000160307,Gene Expression
Neoplastic,TCF4,ENSG00000196628,Gene Expression
Non-neoplastic,CD74,ENSG00000019582,Gene Expression
Non-neoplastic,SPP1,ENSG00000118785,Gene Expression
Non-neoplastic,HLA-DRA,ENSG00000204287,Gene Expression
Non-neoplastic,CCL3,ENSG00000277632,Gene Expression
Non-neoplastic,CCL4,ENSG00000275302,Gene Expression
Non-neoplastic,C1QB,ENSG00000173369,Gene Expression
Non-neoplastic,HLA-DRB1,ENSG00000196126,Gene Expression
Non-neoplastic,SRGN,ENSG00000122862,Gene Expression
Non-neoplastic,C1QA,ENSG00000173372,Gene Expression
Non-neoplastic,C1QC,ENSG00000159189,Gene Expression
Non-neoplastic,HLA-DPA1,ENSG00000231389,Gene Expression
Non-neoplastic,TYROBP,ENSG00000011600,Gene Expression
Non-neoplastic,APOC1,ENSG00000130208,Gene Expression
Non-neoplastic,HLA-DPB1,ENSG00000223865,Gene Expression
Non-neoplastic,RGS1,ENSG00000090104,Gene Expression
Non-neoplastic,CYBA,ENSG00000051523,Gene Expression
Non-neoplastic,FCER1G,ENSG00000158869,Gene Expression
Non-neoplastic,S100A4,ENSG00000196154,Gene Expression
Non-neoplastic,FTL,ENSG00000087086,Gene Expression
Non-neoplastic,AIF1,ENSG00000204472,Gene Expression
Non-neoplastic,LAPTM5,ENSG00000162511,Gene Expression
Non-neoplastic,CD14,ENSG00000170458,Gene Expression
Non-neoplastic,APOE,ENSG00000130203,Gene Expression
Non-neoplastic,SAT1,ENSG00000130066,Gene Expression
Non-neoplastic,ARHGDIB,ENSG00000111348,Gene Expression
Non-neoplastic,CXCR4,ENSG00000121966,Gene Expression
Non-neoplastic,ALOX5AP,ENSG00000132965,Gene Expression
Non-neoplastic,NPC2,ENSG00000119655,Gene Expression
Non-neoplastic,RNASET2,ENSG00000026297,Gene Expression
Non-neoplastic,S100A11,ENSG00000163191,Gene Expression
Non-neoplastic,HLA-DQB1,ENSG00000179344,Gene Expression
Non-neoplastic,B2M,ENSG00000166710,Gene Expression
Non-neoplastic,DUSP1,ENSG00000120129,Gene Expression
Non-neoplastic,CORO1A,ENSG00000102879,Gene Expression
Non-neoplastic,TREM2,ENSG00000095970,Gene Expression
Non-neoplastic,HLA-E,ENSG00000204592,Gene Expression
Non-neoplastic,HCST,ENSG00000126264,Gene Expression
Non-neoplastic,MS4A6A,ENSG00000110077,Gene Expression
Non-neoplastic,HLA-DQA1,ENSG00000196735,Gene Expression
Non-neoplastic,IER3,ENSG00000137331,Gene Expression
Non-neoplastic,PTPRC,ENSG00000081237,Gene Expression
Non-neoplastic,FCGR3A,ENSG00000203747,Gene Expression
Non-neoplastic,TMSB4X,ENSG00000205542,Gene Expression
Non-neoplastic,CTSB,ENSG00000164733,Gene Expression
Non-neoplastic,HLA-DMA,ENSG00000204257,Gene Expression
Non-neoplastic,C3,ENSG00000125730,Gene Expression
Non-neoplastic,ITGB2,ENSG00000160255,Gene Expression
Non-neoplastic,MS4A7,ENSG00000166927,Gene Expression
Non-neoplastic,VAMP8,ENSG00000118640,Gene Expression
