ensmbl
TRIM63,ENSG00000158022
CCP110,ENSG00000103540
CCDC186,ENSG00000165813
RTN1,ENSG00000139970
RHOG,ENSG00000177105
SGO1,ENSG00000129810
TPM2,ENSG00000198467
CKS2,ENSG00000123975
ARL6IP1,ENSG00000170540
RCOR2,ENSG00000167771
TNRC6C,ENSG00000078687
ZNF559,ENSG00000188321
ANKAR,ENSG00000151687
TIMP1,ENSG00000102265
CACNG4,ENSG00000075461
TUBGCP5,ENSG00000275835
RNF125,ENSG00000101695
SUN1,ENSG00000164828
ZMYM3,ENSG00000147130
COL6A3,ENSG00000163359
PLXNA4,ENSG00000221866
IL32,ENSG00000008517
EML2,ENSG00000125746
ABCC5,ENSG00000114770
IFIH1,ENSG00000115267
COMMD8,ENSG00000169019
REC8,ENSG00000100918
C1orf56,ENSG00000143443
WDR6,ENSG00000178252
MVP,ENSG00000013364
KCNJ2,ENSG00000123700
ABCG1,ENSG00000160179
FAM219B,ENSG00000178761
ARHGEF37,ENSG00000183111
SAMD9,ENSG00000205413
ITGB7,ENSG00000139626
APOL3,ENSG00000128284
AKTIP,ENSG00000166971
CASP3,ENSG00000164305
NPAT,ENSG00000149308
XRN1,ENSG00000114127
CHST15,ENSG00000182022
RGS10,ENSG00000148908
C1orf167,ENSG00000215910
ZMAT1,ENSG00000166432
SLC6A12,ENSG00000111181
BOLA2B,ENSG00000169627
DLK1,ENSG00000185559
TUBB,ENSG00000183311
KLHDC10,ENSG00000128607
ZNF383,ENSG00000188283
NOCT,ENSG00000151014
CHPF,ENSG00000123989
IP6K3,ENSG00000161896
NLRP1,ENSG00000091592
PLA2G5,ENSG00000127472
TNFRSF10D,ENSG00000173530
CFL2,ENSG00000165410
ADAMTS4,ENSG00000158859
SNHG12,ENSG00000197989
MMP14,ENSG00000157227
DYNC1I1,ENSG00000158560
RIPK2,ENSG00000104312
KAT2A,ENSG00000108773
ANKRD10,ENSG00000088448
IFRD1,ENSG00000006652
CRIM1,ENSG00000150938
PYROXD2,ENSG00000119943
PLXDC1,ENSG00000161381
C1QTNF1,ENSG00000173918
GBP2,ENSG00000162645
SLC4A7,ENSG00000033867
SCD5,ENSG00000145284
CARD16,ENSG00000204397
TAGLN,ENSG00000149591
WWTR1,ENSG00000018408
ARHGEF9,ENSG00000131089
INPP4A,ENSG00000040933
ALPK3,ENSG00000136383
TMEM52B,ENSG00000165685
GIPR,ENSG00000010310
OLIG1,ENSG00000184221
HPCAL1,ENSG00000115756
SLC44A1,ENSG00000070214
INTS4,ENSG00000149262
C2orf49,ENSG00000135974
CDCA3,ENSG00000111665
NDRG2,ENSG00000165795
MSR1,ENSG00000038945
DDIT4,ENSG00000168209
DTX4,ENSG00000110042
PLEC,ENSG00000178209
PTX3,ENSG00000163661
TTC39B,ENSG00000155158
